date,open,high,low,close,volume,synthetic
2018-01-02,100.1548028875,100.3999494187,99.9286747862,100.1105467099,788837,True
2018-01-03,100.6604335037,101.3126796557,100.0962819089,100.7961492988,322040,True
2018-01-04,100.3460770785,100.9392223894,99.8238484999,100.3552219903,637830,True
2018-01-05,99.5241959756,99.8190882472,98.8545247578,99.5370253826,653072,True
2018-01-08,98.8141585871,99.4367111125,98.3117092536,98.5511989147,599573,True
2018-01-09,98.6097366066,99.0885997561,98.0048730059,98.7242434307,390926,True
2018-01-10,99.7006322495,100.3590747954,99.2007010084,99.7216865647,461241,True
2018-01-11,100.5503979115,101.1311684976,99.9523639558,100.4910488780,890235,True
2018-01-12,99.2436923092,99.6841604050,98.9970699270,99.4518366015,586354,True
2018-01-15,99.4948761963,100.1237928987,99.1526014934,99.5212992677,439194,True
2018-01-16,100.6158967979,100.9884572834,99.8547080859,100.4207933373,346350,True
2018-01-17,101.5152171304,102.1863027226,101.0783453623,101.2202289659,377840,True
2018-01-18,100.3359644610,100.5237188575,100.1194165472,100.3816093631,529422,True
2018-01-19,98.8949385605,99.0683494071,98.6510040964,98.8106990807,141045,True
2018-01-22,99.3268374757,99.7796131839,98.7926324793,99.4276422452,178628,True
2018-01-23,99.7811497244,99.9629667128,98.9723869711,99.6634443313,204631,True
2018-01-24,99.9401780266,100.8564821625,99.7341607605,100.2582016067,752618,True
2018-01-25,100.4494037173,100.8084983465,99.9284678465,100.4347315663,504144,True
2018-01-26,100.8883517651,101.2657968690,100.6708695722,100.8746547905,654529,True
2018-01-29,100.8913363066,101.6717637332,100.6932751886,101.1249581364,595525,True
2018-01-30,101.3335858015,101.8165549537,101.1515878564,101.3413839175,208517,True
2018-01-31,99.4649626480,99.7304657959,99.1554337228,99.4801828727,712704,True
2018-02-01,99.0231633130,99.5970995149,98.2825093522,98.9694968127,357979,True
2018-02-02,99.8138792399,100.4631356377,99.2768161803,99.7479959494,553840,True
2018-02-05,100.2655051033,100.7155781268,100.0048591756,100.1861471831,883251,True
2018-02-06,99.9664179219,100.2485685509,99.2620464118,99.8810347743,384611,True
2018-02-07,99.7029028859,99.9529422888,99.5298468408,99.7173607818,477560,True
2018-02-08,98.9713148493,99.1904994624,98.6598421501,99.0260363744,236883,True
2018-02-09,98.8527858529,99.3119918104,98.5972234960,98.9634879973,453267,True
2018-02-12,100.2174080728,100.4942534551,99.7885696364,100.1418311527,892246,True
2018-02-13,100.3799599575,100.6978991853,99.7423868990,100.5495778730,156149,True
2018-02-14,99.7096367199,100.6218174787,99.1816267421,99.9517596317,630831,True
2018-02-15,100.6769499966,101.2286241602,100.5279783948,100.7060157782,419860,True
2018-02-16,101.7099093592,102.0107939967,101.3412179284,101.8458849125,437893,True
2018-02-19,101.0051005580,101.6232357883,100.7611561831,101.0867571877,413864,True
2018-02-20,100.6091407244,101.1538307711,100.4665035311,100.6197905096,579114,True
2018-02-21,99.5403924220,99.8379649782,99.3243250554,99.6919340969,344136,True
2018-02-22,100.4543472743,101.0740935343,99.7657522396,100.6833098587,325158,True
2018-02-23,100.5514739990,100.9880991016,100.0008617585,100.7320620458,473144,True
2018-02-26,100.7472416751,100.9212516989,100.0331007837,100.4667417588,709666,True
2018-02-27,102.2844423141,102.5922525092,101.3176203196,102.0312933939,806703,True
2018-02-28,101.5951204319,102.2371341876,101.4408712425,101.9697149092,396191,True
2018-03-01,102.2361161186,102.3877792542,101.9319365776,102.2472041622,370801,True
2018-03-02,103.0853475516,103.7359605126,102.8155647326,103.0910554923,838423,True
2018-03-05,102.7645849187,102.9406926957,102.2446621142,102.7046518066,174391,True
2018-03-06,102.4665552714,103.2559608618,102.1396121083,102.7288049243,287189,True
2018-03-07,101.1950002519,101.3228863866,100.6914019324,101.1982887903,524193,True
2018-03-08,101.9037200395,102.0208550423,101.4892545023,101.8982691852,107183,True
2018-03-09,101.9625405389,102.4317299603,101.6901331291,101.9840781809,789016,True
2018-03-12,100.6914340471,101.1390459778,100.5487287307,100.9476766949,138084,True
2018-03-13,99.7767079448,100.5661707278,99.6417655727,99.9845150454,476638,True
2018-03-14,99.5347402522,100.2301973903,98.8943770244,99.6787267397,616455,True
2018-03-15,100.5829517976,100.7007454471,99.9193192279,100.5582336389,202447,True
2018-03-16,100.8988283780,101.4885893332,100.6171693609,101.2011774969,180588,True
2018-03-19,99.0127455106,99.4773403781,98.5645712393,98.9939652567,782065,True
2018-03-20,98.8227010189,99.1938651360,98.6149729139,99.0608052973,249360,True
2018-03-21,97.9454542099,98.8791357370,97.6808021940,98.3248423593,866217,True
2018-03-22,97.9819093930,98.2589538513,97.7035606402,97.8503698148,585677,True
2018-03-23,98.3953055989,99.2230581870,97.7113429201,98.5430723391,765104,True
2018-03-26,99.4164691977,100.1159166441,99.2908238035,99.4325263158,482971,True
2018-03-27,98.6434132201,99.3048696173,98.5279948017,98.6636828777,233169,True
2018-03-28,98.5782536409,99.2234434834,97.8491408151,98.4710989839,408712,True
2018-03-29,98.6608475248,99.2087591753,98.0953687369,98.8399136158,247505,True
2018-03-30,97.6239516884,98.3941320669,97.2456592514,97.7442176136,105096,True
2018-04-02,96.9505171709,97.4956452189,96.4272655646,97.1502640068,140586,True
2018-04-03,96.4655402212,96.9830492055,95.8173568558,96.5189427769,605963,True
2018-04-04,97.9789905480,98.3773915497,97.4064199415,98.0593632952,527232,True
2018-04-05,98.2319177182,98.7932210326,97.5773477624,98.1527961243,510720,True
2018-04-06,98.1205294980,98.5635894487,97.9214674204,98.2942645744,863895,True
2018-04-09,97.7153908388,98.2778396283,97.3684605334,97.7512855909,605277,True
2018-04-10,98.0613500990,98.3967432567,97.2499590711,97.7734956025,795356,True
2018-04-11,98.5734643014,99.1738249665,97.9118656060,98.5259985762,139104,True
2018-04-12,99.8777882250,100.5376104394,99.2976173913,99.8776275043,693103,True
2018-04-13,99.5975517791,99.8353905044,98.9828731154,99.7057736864,890871,True
2018-04-16,100.3057545408,100.7927422304,99.6207952552,100.1338736567,516354,True
2018-04-17,100.3700295166,100.8991778085,100.1593415907,100.4776008498,578662,True
2018-04-18,100.7201674748,101.5027882311,100.4740909841,100.8730303250,358128,True
2018-04-19,101.4878680320,101.8373393204,100.6934209139,101.2413312892,869463,True
2018-04-20,99.7964882129,100.4878199259,99.4552653545,99.9211193647,515427,True
2018-04-23,98.9885967588,99.5567622366,98.4478242138,99.0697833142,117557,True
2018-04-24,99.3061458391,100.0604152181,98.9441691755,99.6494086725,218377,True
2018-04-25,99.1425718292,99.4386553236,98.5381717764,99.3182632794,333376,True
2018-04-26,99.4703068360,99.7662713013,99.0763303722,99.3770287685,544140,True
2018-04-27,99.2018477931,99.4536664792,99.0083894089,99.2469490981,702499,True
2018-04-30,98.2856498416,98.7571466670,97.6603161277,98.2134120243,451341,True
2018-05-01,98.5251837894,98.9279907230,97.9041993487,98.5777549905,283186,True
2018-05-02,98.3073274660,98.5688118705,97.9230996078,98.3525132058,591100,True
2018-05-03,98.4669673596,98.8987086504,97.9249428123,98.3540880480,187690,True
2018-05-04,98.1240987817,98.4772627138,97.4604013779,98.0383865267,312325,True
2018-05-07,97.6552078244,97.9751250460,97.4427774769,97.8588511146,717937,True
2018-05-08,97.4373295606,97.8232699205,97.1624858953,97.5675437678,499911,True
2018-05-09,97.8619067131,98.4261299186,97.4516378152,97.7948932070,852443,True
2018-05-10,96.9730871106,97.6582288849,96.3601567322,97.0956188659,719979,True
2018-05-11,97.4466367684,97.6929247847,97.1746159552,97.3733765133,192332,True
2018-05-14,97.5781796871,98.1542114346,97.4531523003,97.5881606882,234975,True
2018-05-15,97.5415428683,97.9189483476,97.2128659814,97.6222440649,549004,True
2018-05-16,96.5474771054,96.6753796577,95.8434732900,96.4271896555,796102,True
2018-05-17,97.0922077177,97.7191103343,96.8746620476,97.3802685488,635601,True
2018-05-18,96.0456156470,96.6705633866,95.3807104348,96.0867977939,794496,True
2018-05-21,95.6110803447,95.7876198216,95.1965066906,95.5747458614,626759,True
2018-05-22,96.8947410786,97.1062435084,96.4803176497,96.7057403360,456949,True
2018-05-23,95.1992023286,95.4461237490,94.9320272037,95.2317073021,600448,True
2018-05-24,94.6484386912,94.9376188979,94.2613579009,94.4822948427,490983,True
2018-05-25,93.9953784882,94.6253552257,93.7391937701,94.0855123789,567097,True
2018-05-28,95.2273090936,96.1640395780,94.6426961355,95.5535041452,734391,True
2018-05-29,95.7371380792,96.5685924786,95.3407609389,95.9444399194,464821,True
2018-05-30,96.4990605100,97.0445641948,96.1082940084,96.4014535219,765725,True
2018-05-31,96.9037829554,97.1183880904,96.5760125281,96.9067469768,373014,True
2018-06-01,96.3484104140,96.5585701197,96.1774830946,96.3820575943,308970,True
2018-06-04,96.6965378732,97.0838478993,96.2141718194,96.7043926492,849246,True
2018-06-05,96.4089551134,96.6037898862,96.3118123046,96.4538932332,384179,True
2018-06-06,95.3572170429,96.2446830312,95.0073307487,95.6590029605,354789,True
2018-06-07,94.6741263847,95.1545160149,94.1341262916,94.6440104601,112060,True
2018-06-08,94.7964044626,95.3407205410,94.4384266283,94.7921643885,513664,True
2018-06-11,94.5451840377,95.1136393674,94.0389611473,94.5374013446,437576,True
2018-06-12,94.2119572808,94.5493420792,93.6178904982,94.2033105019,896281,True
2018-06-13,94.4349587653,95.0428354644,94.1405067072,94.3161107537,728362,True
2018-06-14,95.1075336407,95.4491400508,94.6066730226,95.0948631362,164746,True
2018-06-15,95.1464871902,95.2996743896,94.5130475842,95.0243364812,761597,True
2018-06-18,93.5388744185,94.1965746171,92.9026560347,93.6705971630,699934,True
2018-06-19,93.4987497129,93.6703737015,92.9987863932,93.4377632818,341129,True
2018-06-20,93.9449134437,94.5012343727,93.3237056347,93.9833888964,190037,True
2018-06-21,93.4682979675,93.6958112473,92.7648077483,93.4113054901,121732,True
2018-06-22,93.6790418128,93.8828633419,93.3631460230,93.7249104426,715226,True
2018-06-25,94.5468039666,94.7465947340,94.2839249105,94.5944695019,219295,True
2018-06-26,95.3313514606,95.9162544034,94.8761940716,95.2644787084,124325,True
2018-06-27,95.9489165759,96.6679218185,95.3765595519,96.1325788760,187476,True
2018-06-28,97.3759448339,97.6041135321,96.7036114530,97.2646583784,685429,True
2018-06-29,98.2917757186,98.5766841344,97.6201256509,98.3843051322,451675,True
2018-07-02,97.8234866973,98.1600534866,97.1515890164,97.9845495005,223167,True
2018-07-03,98.3227955640,98.6976431969,98.0491850066,98.5504176115,886721,True
2018-07-04,98.9284943659,99.5117406927,98.3875841240,99.0268214760,637156,True
2018-07-05,98.4025805115,98.7696707908,97.9872331935,98.5117297159,344488,True
2018-07-06,99.6090567381,99.7676409531,99.0336457220,99.4478674753,557844,True
2018-07-09,98.8575734998,99.2259623309,98.6103310517,98.7549096732,435034,True
2018-07-10,97.6753045627,98.0919741731,97.2031548985,97.8827429327,865399,True
2018-07-11,97.2810090534,97.8474595923,96.6059829153,97.3565141310,776268,True
2018-07-12,95.8022229349,96.4805328159,95.1649835782,95.8598570295,886054,True
2018-07-13,95.3484402740,95.8387374389,94.8545907846,95.4692376311,213502,True
2018-07-16,95.5056911253,96.0986435510,95.2011869376,95.4734075866,801981,True
2018-07-17,95.1498726585,95.8016004327,94.6684958617,95.0776308893,482948,True
2018-07-18,95.8371232495,96.3306803526,95.0882424185,95.6974767688,820450,True
2018-07-19,96.4730316641,96.7476629873,95.7801074229,96.4183319230,526328,True
2018-07-20,96.1476612091,96.4731426161,95.6763828181,96.0581785171,791913,True
2018-07-23,95.5555169015,95.8678627626,94.8839622778,95.4318158548,203052,True
2018-07-24,94.6660172592,95.1821835727,93.8950711695,94.4692814769,362986,True
2018-07-25,95.0587263797,95.2329326049,94.6740420414,95.0429003728,333336,True
2018-07-26,94.8154657434,95.0412532914,94.5587756886,94.7782137137,412845,True
2018-07-27,94.3056667998,94.8378732432,93.5863779911,94.1174927116,167557,True
2018-07-30,94.5892004864,94.8296785196,93.9562290479,94.4585999074,613321,True
2018-07-31,93.7703143724,94.3333772770,93.6297594306,93.8481388300,528124,True
2018-08-01,93.5698445937,94.4118700579,93.1587993406,93.9443494447,585135,True
2018-08-02,93.4867597247,94.1062817017,92.8207713923,93.2604169561,534111,True
